taskname,prompt_program
HalloweenShopping_2,"Visit every office. If there is a person in the office, ask the person to select 0 to 4 for each of the following categories: gummy, chocolate, or caramel. Return to me and say how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    gummy_count = 0
    chocolate_count = 0
    caramel_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            gummy_count += int(ask("""", ""How many gummies do you want?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
            chocolate_count += int(ask("""", ""How many chocolates do you want?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
            caramel_count += int(ask("""", ""How many caramels do you want?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
    go_to(start_loc)
    say(""We need to buy "" + str(gummy_count) + "" gummies, "" + str(chocolate_count) + "" chocolates, and "" + str(caramel_count) + "" caramels."")
"
HalloweenShopping_3,"Go to each office. If no person is in the office, skip this office. Otherwise, ask the person in the office to whether they'd like 0,1,2,3, or 4 for each of the following: gummy, caramel, or chocolate. Return to me and say how many of each we need to buy.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    gummy_count = 0
    caramel_count = 0
    chocolate_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            gummy_count += int(ask("""", ""How many gummies would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
            caramel_count += int(ask("""", ""How many caramels would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
            chocolate_count += int(ask("""", ""How many chocolates would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""]))
    go_to(start_loc)
    say(""We need to buy "" + str(gummy_count) + "" gummies, "" + str(caramel_count) + "" caramels, and "" + str(chocolate_count) + "" chocolates."")
"
HalloweenShopping_4,"Go to every office and skip any office without a person in there. Otherwise, ask the person in the office to decide on how many, from zero to four, of the following they'd like: gummy, caramel, or chocolate. Return to me and say how many of each we need to buy. 
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    gummy_count = 0
    caramel_count = 0
    chocolate_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            gummy_response = ask("""", ""How many gummies would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""])
            gummy_count += int(gummy_response)
            caramel_response = ask("""", ""How many caramels would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""])
            caramel_count += int(caramel_response)
            chocolate_response = ask("""", ""How many chocolates would you like?"", [""0"", ""1"", ""2"", ""3"", ""4""])
            chocolate_count += int(chocolate_response)
    go_to(start_loc)
    say(""We need to buy "" + str(gummy_count) + "" gummies, "" + str(caramel_count) + "" caramels, and "" + str(chocolate_count) + "" chocolates."")
"
MailDelivery_0,"Pick up a mail bin from the mail room. Go to every office and ask if they have any mail they'd like delivered. If so, ask them to put it in the mail bin. Finally, meet me in the mail room with all the mail. Place the mail bin back and tell me which offices they are from.
def task_program():
    start_loc = get_current_location()
    go_to(""mail room"")
    pick(""mail bin"")
    list_of_rooms = get_all_rooms()
    offices_with_mail = []
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        response = ask("""", ""Do you have any mail you'd like delivered?"", [""Yes"", ""No""])
        if response == ""Yes"":
            offices_with_mail.append(room)
            say(""Please put your mail in the mail bin"")
    go_to(""mail room"")
    place(""mail bin"")
    message = ""The mail is from: ""
    for office in offices_with_mail:
        message += office + "", ""
    say(message)
    go_to(start_loc)
"
MailDelivery_1,"Go to the mail room to pick a mail bin. Ask at every office if they have any mail to deliver. If they reply yes, ask them to put the mail in the bin. Return to the mail room with the mail. Tell me at the mail room which offices these mail are from and put the mail bin back.
def task_program():
    start_loc = get_current_location()
    go_to(""mail room"")
    pick(""mail bin"")
    list_of_rooms = get_all_rooms()
    offices_with_mail = []
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        response = ask("""", ""Do you have any mail to deliver?"", [""Yes"", ""No""])
        if response == ""Yes"":
            offices_with_mail.append(room)
            say(""Please put the mail in the bin"")
    go_to(""mail room"")
    place(""mail bin"")
    message = ""The mail is from: ""
    for office in offices_with_mail:
        message += office + "", ""
    say(message)
    go_to(start_loc)
"
MailDelivery_2,"Grab a mail bin from the mail room. Go to every office, and ask if they have any mail to deliver. Ask them to put all mail in the bin if there is any. Put the mail bin back in the mail room and report which offices the mail is from.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    offices_with_mail = []
    go_to(""mail room"")
    pick(""mail bin"")
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        response = ask("""", ""Do you have any mail to deliver?"", [""Yes"", ""No""])
        if response == ""Yes"":
            offices_with_mail.append(room)
            say(""Please put all mail in the bin"")
    go_to(""mail room"")
    place(""mail bin"")
    message = ""The mail is from ""
    for office in offices_with_mail:
        message += office + "", ""
    say(message)
    go_to(start_loc)
"
MailDelivery_3,"Find a mail bin in the mail room and carry it with you. Collect mail from every office by asking if there is any mail they'd like delivered. If yes, ask them to put it in the bin. Return the bin to the mail room and say which offices sent mail.
def task_program():
    go_to(""mail room"")
    pick(""mail bin"")
    list_of_rooms = get_all_rooms()
    offices_with_mail = []
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        response = ask("""", ""Do you have any mail to be delivered?"", [""Yes"", ""No""])
        if response == ""Yes"":
            offices_with_mail.append(room)
            ask("""", ""Please put it in the bin"", [""Okay""])
    go_to(""mail room"")
    place(""mail bin"")
    message = ""Offices that sent mail: ""
    for office in offices_with_mail:
        message += office + "", ""
    say(message)
"
MailDelivery_4,"Take a mail bin from the mail room. For every office, ask if there is any mail to deliver and if someone says yes, ask them to put all mail in the bin. Finally find me at the mail room. Put the mail bin away, and tell me which offices had mail.
def task_program():
    start_loc = get_current_location()
    go_to(""mail room"")
    pick(""mail bin"")
    list_of_rooms = get_all_rooms()
    offices_with_mail = []
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        response = ask("""", ""Do you have any mail to deliver?"", [""Yes"", ""No""])
        if response == ""Yes"":
            offices_with_mail.append(room)
            ask("""", ""Please put all mail in the bin"", [""Done""])
    go_to(""mail room"")
    place(""mail bin"")
    offices = "", "".join(offices_with_mail)
    say(offices + "" had mail to deliver"")
    go_to(start_loc)
"
CountSavory_0,"Go to every office, and if there is someone there, ask them whether they'd like a cupcake, ham sandwich, donut, or beef jerky. Come back and tell me how many people chose a savory option.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    savory_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Would you like a cupcake, ham sandwich, donut, or beef jerky?"", [""cupcake"", ""ham sandwich"", ""donut"", ""beef jerky""])
            if response == ""ham sandwich"" or response == ""beef jerky"":
                savory_count += 1
    go_to(start_loc)
    say(str(savory_count) + "" people chose a savory option"")
"
CountSavory_1,"Visit all offices. If anyone is present; ask them to choose from the options of cupcake, ham sandwich, donut, or beef jerky. Let me know how many people selected a savory option when you return.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    savory_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Please choose from the options: cupcake, ham sandwich, donut, or beef jerky"", [""cupcake"", ""ham sandwich"", ""donut"", ""beef jerky""])
            if response in [""ham sandwich"", ""beef jerky""]:
                savory_count += 1
    go_to(start_loc)
    say(str(savory_count) + "" people selected a savory option"")
"
CountSavory_2,"Go through each office; if someone is there, ask about their preference among cupcake, donut, beef jerky, or ham sandwich. Report the number of individuals who opted for a savory item after returning.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    savory_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""What is your preference among cupcake, donut, beef jerky, or ham sandwich?"", [""cupcake"", ""donut"", ""beef jerky"", ""ham sandwich""])
            if response == ""beef jerky"" or response == ""ham sandwich"":
                savory_count += 1
    go_to(start_loc)
    say(str(savory_count) + "" individuals opted for a savory item"")
"
CountSavory_3,"Go visit each office. If there is a person in the office, inquire about their liking for cupcake, ham sandwich, beef jerky, or donut. Come back and tell me of the count of people who went for a savory option.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    savory_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Do you prefer a cupcake, ham sandwich, beef jerky, or donut?"", [""cupcake"", ""ham sandwich"", ""beef jerky"", ""donut""])
            if response in [""ham sandwich"", ""beef jerky""]:
                savory_count += 1
    go_to(start_loc)
    say(str(savory_count) + "" people prefer a savory option"")
"
CountSavory_4,"Go to every office, and if there is someone there, ask them whether they'd like a beef jerky, cupcake, ham sandwich, or donut. Come back and tell me how many people preferred a savory option.
def task_program():
    start_loc = get_current_location()
    list_of_rooms = get_all_rooms()
    savory_count = 0
    for room in list_of_rooms:
        if ""office"" not in room:
            continue
        go_to(room)
        if is_in_room(""person""):
            response = ask("""", ""Would you like a beef jerky, cupcake, ham sandwich, or donut?"", [""beef jerky"", ""cupcake"", ""ham sandwich"", ""donut""])
            if response == ""beef jerky"" or response == ""ham sandwich"":
                savory_count += 1
    go_to(start_loc)
    say(str(savory_count) + "" people preferred a savory option"")
"
SetTemperature_0,"The thermostat is set to 72 degrees. Go to Arjun's office and ask him if he'd like it to be warmer or colder. Come back and tell me what temperature I should set it to.
def task_program():
    start_loc = get_current_location()
    go_to(""Arjun's office"")
    response = ask(""Arjun"", ""Would you like the temperature to be warmer or colder?"", [""Warmer"", ""Colder""])
    if response == ""Warmer"":
        new_temp = ""74 degrees""
    else:
        new_temp = ""70 degrees""
    go_to(start_loc)
    say(""Set the temperature to "" + new_temp)
"
SetTemperature_1,"Ask Arjun in his office if he would like it to be warmer or colder. The thermostat is currently set to 72 degrees. Come back and tell me what temperature I should set the thermostat to based on what Arjun says.
def task_program():
    start_loc = get_current_location()
    go_to(""Arjun's office"")
    response = ask(""Arjun"", ""Would you like it to be warmer or colder?"", [""Warmer"", ""Colder""])
    if response == ""Warmer"":
        new_temp = ""74 degrees""
    else:
        new_temp = ""70 degrees""
    go_to(start_loc)
    say(""Set the thermostat to "" + new_temp)
"
SetTemperature_2,"The thermostat is currently set to 72 degrees. Go ask if Arjun thinks his office should be colder or warmer. Come back and tell me what temperature in degrees I should change the thermostat to.
def task_program():
    start_loc = get_current_location()
    go_to(""Arjun's office"")
    response = ask(""Arjun"", ""Do you think your office should be colder or warmer?"", [""Colder"", ""Warmer""])
    if response == ""Colder"":
        new_temp = ""70""
    else:
        new_temp = ""74""
    go_to(start_loc)
    say(""Change the thermostat to "" + new_temp + "" degrees"")
"
SetTemperature_3,"Go to Arjun's office and ask him if he would like his office to be warmer or colder. The thermostat says the temperature in the office is currently 72 degrees. Come back and tell me what temperature I should reset it to based on Arjun's preferences.
def task_program():
    start_loc = get_current_location()
    go_to(""Arjun's office"")
    response = ask(""Arjun"", ""Would you like your office to be warmer or colder?"", [""Warmer"", ""Colder""])
    if response == ""Warmer"":
        new_temp = ""74 degrees""
    else:
        new_temp = ""70 degrees""
    go_to(start_loc)
    say(""Please reset the temperature to "" + new_temp)
"
SetTemperature_4,"The thermostat is set to 72 degrees. Go to Arjun's office and ask if he would like the temperature to be set to a warmer or colder value. Return and tell me what temperature in degrees I should set the thermostat to.
def task_program():
    start_loc = get_current_location()
    go_to(""Arjun's office"")
    response = ask(""Arjun"", ""Would you like the temperature to be set to a warmer or colder value?"", [""Warmer"", ""Colder""])
    if response == ""Warmer"":
        new_temp = ""75 degrees""
    else:
        new_temp = ""70 degrees""
    go_to(start_loc)
    say(""Set the thermostat to "" + new_temp)
"
GetDrink_0,"Go to the lobby, and ask if the visitor would like a bottle of water, iced tea, or lemonade. Bring what they ask for from the kitchen.
def task_program():
    go_to(""lobby"")
    response = ask(""visitor"", ""Would you like a bottle of water, iced tea, or lemonade?"", [""water"", ""iced tea"", ""lemonade""])
    go_to(""kitchen"")
    pick(response)
    go_to(""lobby"")
    place(response)
"
GetDrink_1,"Ask any visitor in the lobby if they would like a bottle of water, iced tea, or lemonade. Bring what they ask for from the kitchen.
def task_program():
    go_to(""lobby"")
    if is_in_room(""visitor""):
        response = ask(""visitor"", ""Would you like a bottle of water, iced tea, or lemonade?"", [""water"", ""iced tea"", ""lemonade""])
        go_to(""kitchen"")
        pick(response)
        go_to(""lobby"")
        place(response)
"
GetDrink_2,"Go to the lobby. Ask if the visitor wants: a bottle of water, iced tea, or lemonade. Go to the kitchen and bring the visitor back what they asked for.
def task_program():
    go_to(""lobby"")
    response = ask(""visitor"", ""Would you like a bottle of water, iced tea, or lemonade?"", [""bottle of water"", ""iced tea"", ""lemonade""])
    go_to(""kitchen"")
    pick(response)
    go_to(""lobby"")
    place(response)
"
GetDrink_3,"Go to the lobby and ask any person there if they want iced tea, lemonade or a bottle of water. Bring whatever they asked for back from the kitchen.
def task_program():
    go_to(""lobby"")
    if is_in_room(""person""):
        response = ask("""", ""Would you like iced tea, lemonade, or a bottle of water?"", [""iced tea"", ""lemonade"", ""bottle of water""])
        go_to(""kitchen"")
        pick(response)
        go_to(""lobby"")
        place(response)
"
GetDrink_4,"Go to the lobby, and ask if the visitor would like a bottle of water, iced tea, or lemonade. If they want a bottle of water, bring it to them from the kitchen. If they want iced tea, bring it to them from the kitchen. If they want lemonade, bring it to them from the kitchen.
def task_program():
    go_to(""lobby"")
    response = ask(""visitor"", ""Would you like a bottle of water, iced tea, or lemonade?"", [""water"", ""iced tea"", ""lemonade""])
    go_to(""kitchen"")
    pick(response)
    go_to(""lobby"")
    place(response)
"
ElevatorTour_0,"Go to the elevator. Wait until someone shows up and ask them if they are here for the tour. If yes, welcome them to the university, tell them to follow you, and take them to the main conference room. If not, wait for the next person. When you get to the conference room, say you have arrived at the conference room and also say enjoy your visit here!
def task_program():
    go_to(""elevator"")
    while True:
        if is_in_room(""person""):
            response = ask("""", ""Are you here for the tour?"", [""Yes"", ""No""])
            if response == ""Yes"":
                say(""Welcome to the university! Please follow me to the main conference room."")
                go_to(""main conference room"")
                say(""We have arrived at the main conference room. Enjoy your visit here!"")
                break
        time.sleep(1)
"
ElevatorTour_1,"Go to the elevator, and wait until someone shows up. Ask them if they are here for the tour. If yes, welcome them to the university, tell them to follow you, and take them to the main conference room. If not, wait for the next person. When you get to the conference room, say you have arrived at the conference room and wish them an enjoyable visit.
def task_program():
    go_to(""elevator"")
    while True:
        if is_in_room(""person""):
            response = ask("""", ""Are you here for the tour?"", [""Yes"", ""No""])
            if response == ""Yes"":
                say(""Welcome to the university, please follow me to the main conference room"")
                go_to(""main conference room"")
                say(""We have arrived at the main conference room. Enjoy your visit!"")
                break
        time.sleep(1)
"
ElevatorTour_2,"Go to the elevator and wait for someone to arrive. Inquire if they are here for the tour, and if they say yes, welcome them to the university and tell them to follow you. Then take them to the main conference room. If they say no, wait for someone else. When you get to the conference room, announce your arrival at the conference room and wish them an enjoyable visit.
def task_program():
    go_to(""elevator"")
    while True:
        if is_in_room(""person""):
            response = ask("""", ""Are you here for the tour?"", [""Yes"", ""No""])
            if response == ""Yes"":
                say(""Welcome to the university! Please follow me."")
                break
        time.sleep(1)
    go_to(""main conference room"")
    say(""We have arrived at the main conference room. Enjoy your visit!"")
"
ElevatorTour_3,"Go to the elevator and wait for a person to show up. When someone shows up, ask them if they are here for the tour, and if they say yes, welcome them to the university and tell them to follow you. Then take them to the main conference room. If they say no, wait for the next person. When you get to the conference room, announce your arrival at the conference room and wish them an enjoyable visit.
def task_program():
    go_to(""elevator"")
    while True:
        if is_in_room(""person""):
            response = ask("""", ""Are you here for the tour?"", [""Yes"", ""No""])
            if response == ""Yes"":
                say(""Welcome to the university! Please follow me."")
                break
        time.sleep(1)
    go_to(""main conference room"")
    say(""We have arrived at the main conference room. Enjoy your visit!"")
"
ElevatorTour_4,"Go to the elevator, wait until someone arrives, and then ask them if they are here for the tour. If they say yes, welcome them to the university and tell them to follow you, and guide them to the main conference room. If they say no, wait for the next person. When you get to the conference room, announce your arrival at the conference room and wish them an enjoyable visit.
def task_program():
    go_to(""elevator"")
    while True:
        if is_in_room(""person""):
            response = ask("""", ""Are you here for the tour?"", [""Yes"", ""No""])
            if response == ""Yes"":
                say(""Welcome to the university! Please follow me."")
                break
        time.sleep(1)
    go_to(""main conference room"")
    say(""We have arrived at the main conference room. Enjoy your visit!"")
"
GrilledCheese_1,"Create a list of ingredients needed to make grilled cheese. Visit Zarko's office and inquire which of them he possesses. Return and inform me of the items he does not have.
def task_program():
    start_loc = get_current_location()
    list_of_ingredients = [""bread"", ""cheese"", ""butter"", ""knife""]
    list_of_ingredients_not_found = []
    go_to(""Zarko's office"")
    for ingredient in list_of_ingredients:
        response = ask(""Zarko"", ""Do you have a "" + ingredient + ""?"", [""Yes"", ""No""])
        if response == ""No"":
            list_of_ingredients_not_found.append(ingredient)
    go_to(start_loc)
    if len(list_of_ingredients_not_found) > 0:
        message = """"
        for ingredient in list_of_ingredients_not_found:
            message += ingredient + "", ""
        message += ""are not in Zarko's office""
    else:
        message = ""all ingredients are in Zarko's office""
    say(message)

"
